sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
197,-597.4265258076692,-1639.8730640746412,-223.79828509784627,1,1,1,0,0,0,0
198,776.1433153207932,-877.6741607227103,-230.9097358547185,1,1,1,0,0,0,0
199,575.0746965750178,-1163.0079449386728,-223.66679630685744,1,1,1,1,0,0,0
200,-1188.033220671392,-1541.0542758751144,-213.97930463000006,1,1,1,1,1,0,0
201,-627.0670329610491,-1114.0767229079445,-222.97585359000004,1,1,1,1,1,0,0
202,-640.7289368256224,-1480.565373149193,-210.21547191171848,1,1,1,0,0,0,0
203,-1187.4777740469783,-1377.4781373506237,-222.97585359000004,1,1,1,1,1,0,0
204,31.964634523712697,-1028.7009095108592,-222.97585359,1,1,0,0,0,0,0
205,310.69851429989,-789.062210863384,-223.66679630685744,1,0,0,0,0,0,0
206,1679.0974515298483,-813.2963537643366,-213.97930463,0,0,0,0,0,0,0
207,1072.1650284494085,-944.7176934742963,-216.8491664368574,1,1,1,0,0,0,0
208,-1231.60960107762,-1723.730692590479,-213.97930463000003,1,1,1,1,1,1,0
209,334.95183774569114,-622.2362770828948,-223.66679630685746,1,1,1,0,0,0,0
210,-19.8601478083817,-583.0611389904058,-213.97930462999997,1,1,1,0,0,0,0
211,419.35195073991304,-1042.2861066867947,-213.97930463000003,1,0,0,0,0,0,0
212,-868.9270996775787,-1361.6073161656839,-223.6667963068574,1,1,1,1,1,0,0
213,-119.10738073362177,-931.875322778853,-225.48451588249154,1,1,1,1,0,0,0
214,-1162.6934666303475,-1593.0576714486344,-245.30612481291215,1,1,1,1,1,1,0
215,484.1008101863206,-998.246141577057,-245.30612481291215,1,0,0,0,0,0,0
216,567.1322106388388,-695.3559266040238,-215.01306070613504,1,0,0,0,0,0,0
217,172.25592879417067,-878.7222309051136,-225.48451588249154,1,1,1,1,0,0,0
218,261.28608660402335,-1447.485157811243,-213.97930463000006,1,1,0,0,0,0,0
219,-895.9933960273146,-1395.4375167479268,-216.84916643685744,1,1,1,1,1,0,0
220,-329.8089658960167,-1354.1784916395236,-223.66679630685744,1,1,1,0,0,0,0
221,150.53532861915076,-1200.1367150038377,-230.90973585471852,1,1,1,0,0,0,0
222,-124.03950763038475,-956.2815174073321,-223.66679630685755,1,1,0,0,0,0,0
223,512.4719445604749,-892.0578478711207,-213.97930463,1,1,1,1,0,0,0
224,-511.4838480211414,-1866.8801318967094,-245.30612481291217,1,1,1,1,1,0,0
225,-703.534306523003,-1047.2090909406402,-213.97930463,1,1,1,1,0,0,0
226,-1062.7033361173699,-1338.0140253130553,-245.30612481291217,1,1,1,1,1,0,0
227,-966.1033790978117,-1487.863456500963,-225.4845158824916,1,1,1,1,1,0,0
228,-247.28854260703517,-744.249852779735,-213.97930463000006,1,1,0,0,0,0,0
229,-326.4940030267528,-1170.73645186077,-245.30612481291215,1,1,1,1,0,0,0
230,843.3266361352569,-831.9676929227224,-213.97930463000003,0,0,0,0,0,0,0
231,-754.312398290366,-1731.775446108984,-222.97585359000007,1,1,1,1,0,0,0
232,-898.0273937559053,-1342.9576594671112,-213.97930463,1,1,1,1,0,0,0
233,-339.8005933822499,-1028.211978675762,-223.66679630685746,1,1,1,1,1,0,0
234,-469.5184693917371,-953.718213793134,-238.16215729958046,1,1,1,0,0,0,0
235,-2129.8790164313505,-2283.626843253986,-223.79828509784622,1,1,1,1,1,1,1
236,-309.5012203190217,-1155.4071197656083,-245.30612481291217,1,1,1,0,0,0,0
237,-102.21341541495441,-1171.6257860938208,-223.79828509784633,1,1,0,0,0,0,0
238,-930.5143782563591,-1997.6738219689767,-245.30612481291215,1,1,1,1,1,1,0
239,-1455.5797540469882,-2201.6827984428105,-245.30612481291217,1,1,1,1,1,1,0
240,-1250.0831122453526,-1247.0357114199319,-225.48451588249148,1,1,1,1,1,0,0
241,379.45380573864145,-1089.6344930871444,-245.30612481291215,1,1,1,1,0,0,0
242,-979.2706723017449,-1551.3401101683467,-223.66679630685744,1,1,1,1,1,0,0
243,-304.8497845650942,-1854.8946762756473,-213.97930463000006,1,1,1,0,0,0,0
244,582.0734931085499,-717.3826367323807,-238.16215729958046,1,0,0,0,0,0,0
245,-1298.0626227578812,-1889.786737219011,-223.66679630685744,1,1,1,1,1,1,0
246,335.8962335543319,-878.5690387187228,-222.97585358999999,1,1,0,0,0,0,0
247,684.9453759065848,-1110.6856609030012,-245.30612481291215,1,1,0,0,0,0,0
248,-697.870120327297,-1122.9861945410914,-245.30612481291217,1,1,1,1,0,0,0
249,-50.57730837859937,-859.7693435997934,-245.30612481291215,1,1,1,1,0,0,0
250,-504.2156537577318,-1035.403457499982,-215.013060706135,1,1,1,0,0,0,0
251,-1508.2893071260276,-2094.687107504294,-245.30612481291217,1,1,1,1,1,1,0
252,-483.4990086454975,-859.2647244094417,-225.4845158824915,1,1,1,0,0,0,0
253,993.9091877621282,-649.8991388551565,-213.97930462999994,0,0,0,0,0,0,0
254,277.98241877358345,-694.1571392862227,-238.1621572995804,1,1,1,0,0,0,0
255,-198.4910512471359,-843.5465973722295,-225.4845158824915,1,1,1,0,0,0,0
256,-627.3511898285354,-1473.7169450585793,-245.30612481291215,1,1,1,1,0,0,0
257,-806.5416197950192,-1416.6026504283104,-223.7982850978462,1,1,1,1,1,0,0
